type_of_marine_megafauna_subsidy,interaction_type,type_of_ecological_effect,marine_megafauna_group,marine_megafauna_common_name,marine_megafauna_species,consumer_species_common_name,consumer_species_name,description_of_effect,notes_on_methods,country,state_region,decimal_latitude,decimal_longitude,source,authors,link,notes
Marine Mammals as Food,Carcass scavenging,Consumer abundance,"Pinnipeds, Cetaceans","California sea lion, Common dolphin, Fin whale, Bryde’s whale","Zalophus californianus, Delphinus delphis, Balaenoptera physalus, Balaenoptera edeni",Coyote,Canis latrans,"Dissected scat samples reveal widespread marine resource use by coyotes diet in Baja California, including pinniped and cetacean consumption. Coastal coyotes exhibited greater dietary breadth, scat mass, and abundance than inland coyotes, resulting from marine food use (not only marine mammal consumption, but utilization of a diverse suite of marine foods).",Diet analysis via mechanical sorting of scat.,Mexico,Baja California,28.95,-113.5572,The Distribution and Abundance of Coyotes: The Effects of Allochthonous Food Subsidies from the Sea,Rose and Polis (1998),https://doi.org/10.1890/0012-9658(1998)079[0998:TDAAOC]2.0.CO;2,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,Cetaceans,Humpback whale,Megaptera novaeangliae,"Brown bear, Gray wolf","Ursus arctos, Canis lupus","Remote cameras documented brown bears and wolves scavenging a Humpback whale carcass in Alaska, sometimes simultanously. Changes in the amount of brown bear sign at the stranding locale suggest the stranded carcass led to changes in brown bear space use, and lack of interspecific agression between bears and wolves suggest possible changes to species interactions.",NA,United States of America,"Glacier Bay, Alaska",58.833,-136.65,Brown bears and wolves scavenge humpback whale carcass in Alaska,Lewis and Lafferty (2014),10.2192/URSUS-D-14-00004.1,NA
Marine Mammals as Food,"Predation, Carcass scavenging","Consumer abundance, Community- and ecosystem-level","Fissipeds, Cetaceans, Pinnipeds","Sea otter (and Gray whale, Stellar sea lion, Orca whale, Harbor seal, Harbor porpoise, Sperm whale)","Enhydra lutris (and Eschrichtius robustus, Eumetopias jubatus, Orcinus orca, Phoca vitulina, Phocoena phocoena, Physeter macrocephalus)",Gray wolf,Canis lupus,"Various techniques including fecal DNA metabarcoding, stable isotope analysis, telemetry, fecal genotyping, and remote cameras were utilized to show a dietary shift from ungulates to sea otters by Pleasant Island wolves. Sea otter subsidies enabled extreme wolf abundance and enabled a decoupling of wolf-ungulate predator-prey dynamics, such that wolves persisted despite ungulate population collapse.","Fecal DNA metabarcoding, stable isotope analysis, telemetry, fecal DNA genotyping",United States of America,"Pleasant Island, Alaska",58.351076,-135.63984,Recovery of a marine keystone predator transforms terrestrial predator–prey dynamics,Roffler et al,10.1073/pnas.2209037120,NA
Marine Mammals as Food,"Predation, Carcass scavenging","Maybe: behavior, abundance",Pinnipeds,Cape fur seal,Arctocephalus pusillus,Brown hyaena,Parahyaena brunnea,"Cape fur seal are consumed by Brown hyenas on the Namibian coast, but the effects of this marine subsidy on space use and clan size remains unclear.",NA,Namibia,Luderitz,-26.706593,15.117731,Space and resource use by brown hyenas Hyaena brunnea in the Namib Desert,Skinner et al,10.1111/j.1469-7998.1995.tb02751.x,NA
Marine Mammals as Food,Carcass scavenging,Consumer health,Marine Vertebrates,NA,NA,Arctic fox,Alopex lagopus,Marine vertebrate consumption is associated with elevated total mercury (THg) levels among arctic foxes in island and mainland ecosystems in the Commander Islands and Iceland.,NA,Iceland; Russia,Iceland; Commander Islands,64.69103,-21.950687,Correlates between Feeding Ecology and Mercury Levels in Historical and Modern Arctic Foxes (Vulpes lagopus),Bocharova et al.,10.1371/journal.pone.0060879,NA
Marine Mammals as Food,Carcass scavenging,Consumer health,Marine Vertebrates,NA,NA,Arctic fox,Alopex lagopus,Marine vertebrate consumption is associated with elevated total mercury (THg) levels among arctic foxes in island and mainland ecosystems in the Commander Islands and Iceland.,NA,Iceland; Russia,Iceland; Commander Islands,54.695015,167.727855,Correlates between Feeding Ecology and Mercury Levels in Historical and Modern Arctic Foxes (Vulpes lagopus),Bocharova et al.,10.1371/journal.pone.0060879,"Two major locations, so two lines present in dataset."
Marine Mammals as Food,Unknown,Consumer health,Marine Resources (including pinnipeds),NA,NA,Gray wolf,Canis lupus,"Marine resource use, including consumption of pinnipeds and other marine-derived prey, is associated with with elevated total mercury (THg) among coastal wolves in Alaska.",Stable isotope analysis of liver and skeletal muscle.,United States of America,Alaska,61.308924,-151.505595,Mercury in gray wolves (Canis lupus) in Alaska: Increased exposure through consumption of marine prey,McGrew et al 2014,10.1016/j.scitotenv.2013.08.045,NA
Marine Mammals as Food,Unknown,Consumer health,Marine Resources (including pinnipeds),NA,NA,Arctic fox,Alopex lagopus,"Marine resource consumption is associated with elevated total mercury (THg) levels among arctic foxes in Svalbard, Norway.",Stable isotope analysis of liver.,Norway,Svalbard,78.432875,17.539673,"Temporal trend of mercury in relation to feeding habits and food availability in arctic foxes (Vulpes lagopus) from Svalbard, Norway",Hallanger et al. 2019,10.3402/polar.v4i1.6920,NA
Marine Megafauna Vectored,NA,Community- and ecosystem-level,Sea Turtles,Olive ridley sea turtle,Lepidochelys olivacea,NA,NA,Olive ridley sea turtle nesting increased the abundance of insects and mites on sandy nesting beaches.,NA,Costa Rica,Playa Ostional,9.997837,-85.702213,Sea Turtle Nesting as a Process Influencing a Sandy Beach Ecosystem,"Madden, D; Ballestero, J; Calvo, C; Carlson, R; Christians, E; Madden, E",http://dx.doi.org/10.1111/j.1744-7429.2008.00435.x,NA
Marine Megafauna as Food,"Predation, Carcass scavenging",Community- and ecosystem-level,Sea Turtles,"Olive ridley sea turtle, Green sea turtle","Lepidochelys olivacea, Chelonia mydas",Jaguar,Panthera onca,Jaguar predation of sea turtle adults provides a sea turtle carrion subsidy to numerous terrestrial scavenger species.,NA,Costa Rica,Santa Rosa National Park,10.853607,-85.835284,INTER-TROPHIC FOOD PROVISIONING BETWEEN SEA AND LAND: THE JAGUAR (Panthera onca) AS PROVIDER OF SEA TURTLE CARCASSES TO TERRESTRIAL SCAVENGERS,"Escobar-Lasso, S; Gil-Fernandez, M; Sáenz, J; Carrillo-Jiménez, E; Wong, G; Fonseca, LG",NA,NA
Marine Megafauna as Food,Consuming eggs,Consumer behavior,Sea Turtles,Hawksbill sea turtle,Eretemochelys imbricata,Mongoose,Herpestes javanicus,"Beach visitation rates by invasive mongoose (a sea turtle egg predator) were greater on Hawksbill sea turtle nesting beaches during periods of greater nest density at at Bath Beach, Barbados.",NA,Barbados,Bath Beach,13.187453,-59.476547,Conservation and the scarecrow effect: Can human activity benefit threatened species by displacing predators?,"Leighton, PA; Horrocks, JA; Kramer, DL",http://dx.doi.org/10.1016/j.biocon.2010.05.028,NA
Marine Megafauna Vectored,NA,Community- and ecosystem-level,Sea Turtles,Loggerhead sea turtle,Caretta caretta,NA,NA,Nutrient subsidies from loggerhead sea turtle nests increase the diversity and abundance of sandy beach meiofauna (particularly nematodes).,NA,South Africa,iSimangaliso Wetland Park,-27.627982,32.653715,The response of sandy beach meiofauna to nutrients from sea turtle eggs,"Diane, ZM, Le Gouvello; Nel, R; Harris, LR; Bezuidenhout, K",http://dx.doi.org/10.1016/j.jembe.2016.11.017,NA
Marine Megafauna as Food,Carcass scavenging,Community- and ecosystem-level,Pinnipeds,NA,NA,Arctic fox,Alopex lagopus,Seal carrion provisioning to arctic foxes by polar bears has a negative indirect effect on goose reproductive success.,NA,Canada,Wapusk National Park,57.839112,-92.907072,(PREPRINT) Marine resources alter tundra food web dynamics bu subsidizing a terrestrial predator on the sea ice,Johnson-Bice et al.,https://doi.org/10.32942/X27P6Z,NA
Marine Megafauna Vectored,NA,Community- and ecosystem-level,Sea Turtles,Green sea turtle,Chelonia mydas,NA,NA,Green sea turtle nests provide nutrient subsidies to four species of beach vegetation. Areas with greater sea turtle nest density had higher total nitrogen in vegetation and also exhibited changes in plant community composition.,Stable isotope analysis,Costa Rica,Tortuguero Beach,10.545298,-83.503607,Marine-derived Nutrients from Green Turtle Nests Subsidize Terrestrial Beach Ecosystems,"Vander Zanden, HB; Bjorndal, KA; Inglett, PW; Bolten, AB",http://dx.doi.org/10.1111/j.1744-7429.2011.00827.x,NA
Marine Megafauna Vectored,NA,Community- and ecosystem-level,Sea Turtles,"Loggerhead sea turtle, Green sea turtle","Caretta caretta, Chelonia mydas",NA,NA,Loggerhead and green sea turtle nests enhance nitrogen in soil and foliar tissue of beach vegetation.,NA,United States of America,East central coast of Florida,27.959595,-80.503506,Dune vegetation fertilization by nesting sea turtles,"Hannan, LB; Roth, JD; Ehrhart, LM; Weishampel, JF",http://dx.doi.org/10.1890/06-0629,NA
Marine Megafauna as Food,Consuming eggs,"Consumer behavior, Consumer abundance, Community- and ecosystem-level",Sea Turtles,Green sea turtle,Chelonia mydas,"Kukri snake, Stink ratsnake","Oligodon formosanus, Elaphe carinata","Loss of green sea turtle egg subsidies to Kukri snakes and Stink ratsnakes led to a shift in space use (away from beaches into concrete wall and forest habitats) and foraging habits (away from sea turtle eggs towards lizard egg clutches) of these sea turtle egg predators. This shift was associated with population declines of kukri snakes, stink ratsnakes, and their lizard prey (but not geckos, which are not eaten by the snake predators), suggesting that the loss of seas turtle egg subsidies led to a substantial restructuring of reptile community dynamics.",NA,Taiwan,Orchid Island,22.046958,121.548091,Loss of sea turtle eggs drives the collapse of an insular reptile community,"Lin, JW; Liao, CP; Chou, CC; Clark, RW; Tseng, HY; Hsu, JY; Huang, WS",http://dx.doi.org/10.1126/sciadv.adj7052,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Southern elephant seal,Mirounga leonina,NA,NA,Southern elephant seal fertilization changes soil nutrient availability and vegetation nutrient content.,NA,South Africa,Marion Island,-46.8964,37.7509,ANIMAL PLANT SOIL NUTRIENT RELATIONSHIPS ON MARION ISLAND (SUB-ANTARCTIC),"SMITH, VR",http://dx.doi.org/10.1007/BF00366075,NA
